3.732502e+01 3.966483e-35
4.197590e+01 2.281398e-35
4.720630e+01 1.485563e-35
5.308844e+01 1.073097e-35
5.970353e+01 8.411249e-36
6.714289e+01 7.074411e-36
7.550922e+01 6.294333e-36
8.491805e+01 5.856443e-36
9.549926e+01 5.646265e-36
1.073989e+02 5.599985e-36
1.207814e+02 5.681121e-36
1.358313e+02 5.868852e-36
1.527566e+02 6.151881e-36
1.717908e+02 6.525071e-36
1.931968e+02 6.987533e-36
2.172701e+02 7.541537e-36
2.443431e+02 8.191872e-36
2.747894e+02 8.945502e-36
3.090295e+02 9.811391e-36
3.475362e+02 1.080045e-35
3.908409e+02 1.192558e-35
4.395416e+02 1.320174e-35
4.943107e+02 1.464614e-35
5.559043e+02 1.627841e-35
6.251727e+02 1.812084e-35
7.030723e+02 2.019871e-35
7.906786e+02 2.254054e-35
8.892011e+02 2.517859e-35
1.000000e+03 2.814918e-35
1.124605e+03 3.149327e-35
